,Method,Metric,Train,Test,Threshold,Rep
8,is1,sse,15334.02,10345.28,0.0,5
9,is1,crps,1705.43,1446.76,0.0,5
10,is1,dss,2767.79,2503.79,0.0,5
11,is1,is1,9592.94,8429.5,0.0,5
12,sse,sse,15878.11,10165.93,0.0,5
13,sse,crps,1721.3,1437.42,0.0,5
14,sse,dss,2775.43,2497.12,0.0,5
15,sse,is1,9613.6,8440.94,0.0,5
16,crps,sse,14669.05,10305.87,0.1,5
17,crps,crps,1666.65,1450.87,0.1,5
18,crps,dss,2719.6,2523.64,0.1,5
19,crps,is1,9495.99,8492.46,0.1,5
20,dss,sse,15493.33,10781.94,0.1,5
21,dss,crps,1703.35,1480.06,0.1,5
22,dss,dss,2738.31,2538.5,0.1,5
23,dss,is1,9527.26,8566.97,0.1,5
24,is1,sse,15320.62,10476.09,0.1,5
25,is1,crps,1696.49,1461.06,0.1,5
26,is1,dss,2736.95,2528.86,0.1,5
27,is1,is1,9524.77,8501.46,0.1,5
28,sse,sse,15754.93,10297.77,0.1,5
29,sse,crps,1715.27,1452.67,0.1,5
30,sse,dss,2753.9,2523.11,0.1,5
31,sse,is1,9592.4,8479.2,0.1,5
32,crps,sse,15320.62,10476.09,0.3,5
33,crps,crps,1696.49,1461.06,0.3,5
34,crps,dss,2736.95,2528.86,0.3,5
35,crps,is1,9524.77,8501.46,0.3,5
36,dss,sse,15493.33,10781.94,0.3,5
37,dss,crps,1703.35,1480.06,0.3,5
38,dss,dss,2738.31,2538.5,0.3,5
39,dss,is1,9527.26,8566.97,0.3,5
40,is1,sse,15493.33,10781.94,0.3,5
41,is1,crps,1703.35,1480.06,0.3,5
42,is1,dss,2738.31,2538.5,0.3,5
43,is1,is1,9527.26,8566.97,0.3,5
44,sse,sse,15320.62,10476.09,0.3,5
45,sse,crps,1696.49,1461.06,0.3,5
46,sse,dss,2736.95,2528.86,0.3,5
47,sse,is1,9524.77,8501.46,0.3,5
48,crps,sse,15493.33,10781.94,0.5,5
49,crps,crps,1703.35,1480.06,0.5,5
50,crps,dss,2738.31,2538.5,0.5,5
51,crps,is1,9527.26,8566.97,0.5,5
52,dss,sse,15493.33,10781.94,0.5,5
53,dss,crps,1703.35,1480.06,0.5,5
54,dss,dss,2738.31,2538.5,0.5,5
55,dss,is1,9527.26,8566.97,0.5,5
56,is1,sse,15493.33,10781.94,0.5,5
57,is1,crps,1703.35,1480.06,0.5,5
58,is1,dss,2738.31,2538.5,0.5,5
59,is1,is1,9527.26,8566.97,0.5,5
60,sse,sse,15493.33,10781.94,0.5,5
61,sse,crps,1703.35,1480.06,0.5,5
62,sse,dss,2738.31,2538.5,0.5,5
63,sse,is1,9527.26,8566.97,0.5,5
64,crps,sse,15493.33,10781.94,0.8,5
65,crps,crps,1703.35,1480.06,0.8,5
66,crps,dss,2738.31,2538.5,0.8,5
67,crps,is1,9527.26,8566.97,0.8,5
68,dss,sse,22078.26,15829.07,0.8,5
69,dss,crps,1992.92,1740.61,0.8,5
70,dss,dss,2940.35,2746.26,0.8,5
71,dss,is1,10526.63,9512.32,0.8,5
72,is1,sse,15493.33,10781.94,0.8,5
73,is1,crps,1703.35,1480.06,0.8,5
74,is1,dss,2738.31,2538.5,0.8,5
75,is1,is1,9527.26,8566.97,0.8,5
76,sse,sse,15493.33,10781.94,0.8,5
77,sse,crps,1703.35,1480.06,0.8,5
78,sse,dss,2738.31,2538.5,0.8,5
79,sse,is1,9527.26,8566.97,0.8,5
0,crps,sse,12606.7,11455.71,0.0,6
1,crps,crps,1605.34,1468.24,0.0,6
2,crps,dss,2676.83,2529.34,0.0,6
3,crps,is1,9336.5,8551.8,0.0,6
4,dss,sse,12677.37,11718.26,0.0,6
5,dss,crps,1629.17,1475.6,0.0,6
6,dss,dss,2792.46,2505.02,0.0,6
7,dss,is1,9407.32,8520.71,0.0,6
8,is1,sse,12679.74,11752.14,0.0,6
9,is1,crps,1625.18,1481.04,0.0,6
10,is1,dss,2812.84,2517.96,0.0,6
11,is1,is1,9432.16,8508.87,0.0,6
12,sse,sse,12904.86,11585.22,0.0,6
13,sse,crps,1621.19,1481.06,0.0,6
14,sse,dss,2817.36,2551.71,0.0,6
15,sse,is1,9357.38,8585.19,0.0,6
16,crps,sse,12603.99,11914.59,0.1,6
17,crps,crps,1591.41,1508.54,0.1,6
18,crps,dss,2696.44,2594.05,0.1,6
19,crps,is1,9268.78,8637.77,0.1,6
20,dss,sse,12603.99,11914.59,0.1,6
21,dss,crps,1591.41,1508.54,0.1,6
22,dss,dss,2696.44,2594.05,0.1,6
23,dss,is1,9268.78,8637.77,0.1,6
24,is1,sse,12540.21,11810.45,0.1,6
25,is1,crps,1601.92,1495.97,0.1,6
26,is1,dss,2719.1,2572.98,0.1,6
27,is1,is1,9312.89,8567.44,0.1,6
28,sse,sse,12603.99,11914.59,0.1,6
29,sse,crps,1591.41,1508.54,0.1,6
30,sse,dss,2696.44,2594.05,0.1,6
31,sse,is1,9268.78,8637.77,0.1,6
32,crps,sse,12603.99,11914.59,0.3,6
33,crps,crps,1591.41,1508.54,0.3,6
34,crps,dss,2696.44,2594.05,0.3,6
35,crps,is1,9268.78,8637.77,0.3,6
36,dss,sse,12603.99,11914.59,0.3,6
37,dss,crps,1591.41,1508.54,0.3,6
38,dss,dss,2696.44,2594.05,0.3,6
39,dss,is1,9268.78,8637.77,0.3,6
40,is1,sse,12603.99,11914.59,0.3,6
41,is1,crps,1591.41,1508.54,0.3,6
42,is1,dss,2696.44,2594.05,0.3,6
43,is1,is1,9268.78,8637.77,0.3,6
44,sse,sse,12603.99,11914.59,0.3,6
45,sse,crps,1591.41,1508.54,0.3,6
46,sse,dss,2696.44,2594.05,0.3,6
47,sse,is1,9268.78,8637.77,0.3,6
48,crps,sse,12603.99,11914.59,0.5,6
49,crps,crps,1591.41,1508.54,0.5,6
50,crps,dss,2696.44,2594.05,0.5,6
51,crps,is1,9268.78,8637.77,0.5,6
52,dss,sse,12603.99,11914.59,0.5,6
53,dss,crps,1591.41,1508.54,0.5,6
54,dss,dss,2696.44,2594.05,0.5,6
55,dss,is1,9268.78,8637.77,0.5,6
56,is1,sse,12603.99,11914.59,0.5,6
57,is1,crps,1591.41,1508.54,0.5,6
58,is1,dss,2696.44,2594.05,0.5,6
59,is1,is1,9268.78,8637.77,0.5,6
60,sse,sse,12603.99,11914.59,0.5,6
61,sse,crps,1591.41,1508.54,0.5,6
62,sse,dss,2696.44,2594.05,0.5,6
63,sse,is1,9268.78,8637.77,0.5,6
64,crps,sse,12603.99,11914.59,0.8,6
65,crps,crps,1591.41,1508.54,0.8,6
66,crps,dss,2696.44,2594.05,0.8,6
67,crps,is1,9268.78,8637.77,0.8,6
68,dss,sse,12603.99,11914.59,0.8,6
69,dss,crps,1591.41,1508.54,0.8,6
70,dss,dss,2696.44,2594.05,0.8,6
71,dss,is1,9268.78,8637.77,0.8,6
72,is1,sse,12603.99,11914.59,0.8,6
73,is1,crps,1591.41,1508.54,0.8,6
74,is1,dss,2696.44,2594.05,0.8,6
75,is1,is1,9268.78,8637.77,0.8,6
76,sse,sse,12603.99,11914.59,0.8,6
77,sse,crps,1591.41,1508.54,0.8,6
78,sse,dss,2696.44,2594.05,0.8,6
79,sse,is1,9268.78,8637.77,0.8,6
0,crps,sse,12771.4,11938.97,0.0,7
1,crps,crps,1569.46,1536.57,0.0,7
2,crps,dss,2625.55,2603.49,0.0,7
3,crps,is1,9002.89,8943.14,0.0,7
4,dss,sse,12870.54,12219.74,0.0,7
5,dss,crps,1570.84,1557.41,0.0,7
6,dss,dss,2660.86,2587.82,0.0,7
7,dss,is1,8924.49,8977.7,0.0,7
8,is1,sse,12771.95,12008.38,0.0,7
9,is1,crps,1569.72,1543.79,0.0,7
10,is1,dss,2623.47,2613.58,0.0,7
