,Method,Metric,Train,Test,Threshold,Rep
54,dss,dss,856.46,552.11,0.5,4
55,dss,is1,6148.85,3873.84,0.5,4
56,is1,sse,2217.66,1340.89,0.5,4
57,is1,crps,961.01,589.81,0.5,4
58,is1,dss,2093.4,1293.5,0.5,4
59,is1,is1,6137.44,3854.51,0.5,4
60,sse,sse,1635.52,1058.34,0.5,4
61,sse,crps,836.09,527.49,0.5,4
62,sse,dss,856.46,552.11,0.5,4
63,sse,is1,6148.85,3873.84,0.5,4
64,crps,sse,1635.52,1058.34,0.8,4
65,crps,crps,836.09,527.49,0.8,4
66,crps,dss,856.46,552.11,0.8,4
67,crps,is1,6148.85,3873.84,0.8,4
68,dss,sse,1635.52,1058.34,0.8,4
69,dss,crps,836.09,527.49,0.8,4
70,dss,dss,856.46,552.11,0.8,4
71,dss,is1,6148.85,3873.84,0.8,4
72,is1,sse,2217.66,1340.89,0.8,4
73,is1,crps,961.01,589.81,0.8,4
74,is1,dss,2093.4,1293.5,0.8,4
75,is1,is1,6137.44,3854.51,0.8,4
76,sse,sse,1635.52,1058.34,0.8,4
77,sse,crps,836.09,527.49,0.8,4
78,sse,dss,856.46,552.11,0.8,4
79,sse,is1,6148.85,3873.84,0.8,4
0,crps,sse,431.3,322.26,0.0,5
1,crps,crps,399.11,263.42,0.0,5
2,crps,dss,-1150.91,-605.19,0.0,5
3,crps,is1,5098.14,3277.61,0.0,5
4,dss,sse,423.74,316.39,0.0,5
5,dss,crps,396.65,262.7,0.0,5
6,dss,dss,-1178.3,-630.33,0.0,5
7,dss,is1,5094.52,3290.39,0.0,5
8,is1,sse,474.13,343.21,0.0,5
9,is1,crps,414.36,270.3,0.0,5
10,is1,dss,-789.7,-413.47,0.0,5
11,is1,is1,5088.42,3286.55,0.0,5
12,sse,sse,432.8,322.51,0.0,5
13,sse,crps,400.31,263.18,0.0,5
14,sse,dss,-1145.43,-614.22,0.0,5
15,sse,is1,5099.09,3281.13,0.0,5
16,crps,sse,486.0,336.18,0.1,5
17,crps,crps,420.91,265.88,0.1,5
18,crps,dss,-703.77,-406.7,0.1,5
19,crps,is1,5130.41,3264.24,0.1,5
20,dss,sse,438.13,325.92,0.1,5
21,dss,crps,404.17,261.53,0.1,5
22,dss,dss,-1037.49,-522.39,0.1,5
23,dss,is1,5131.77,3272.98,0.1,5
24,is1,sse,486.0,336.18,0.1,5
25,is1,crps,420.91,265.88,0.1,5
26,is1,dss,-703.77,-406.7,0.1,5
27,is1,is1,5130.41,3264.24,0.1,5
28,sse,sse,469.86,368.78,0.1,5
29,sse,crps,415.53,278.32,0.1,5
30,sse,dss,-773.26,-307.42,0.1,5
31,sse,is1,5118.84,3291.88,0.1,5
32,crps,sse,1488.73,974.37,0.3,5
33,crps,crps,801.67,507.47,0.3,5
34,crps,dss,727.47,472.52,0.3,5
35,crps,is1,5992.49,3813.54,0.3,5
36,dss,sse,1488.73,974.37,0.3,5
37,dss,crps,801.67,507.47,0.3,5
38,dss,dss,727.47,472.52,0.3,5
39,dss,is1,5992.49,3813.54,0.3,5
40,is1,sse,1488.73,974.37,0.3,5
41,is1,crps,801.67,507.47,0.3,5
42,is1,dss,727.47,472.52,0.3,5
43,is1,is1,5992.49,3813.54,0.3,5
44,sse,sse,1488.73,974.37,0.3,5
45,sse,crps,801.67,507.47,0.3,5
46,sse,dss,727.47,472.52,0.3,5
47,sse,is1,5992.49,3813.54,0.3,5
48,crps,sse,1488.73,974.37,0.5,5
49,crps,crps,801.67,507.47,0.5,5
50,crps,dss,727.47,472.52,0.5,5
51,crps,is1,5992.49,3813.54,0.5,5
52,dss,sse,1488.73,974.37,0.5,5
53,dss,crps,801.67,507.47,0.5,5
54,dss,dss,727.47,472.52,0.5,5
55,dss,is1,5992.49,3813.54,0.5,5
56,is1,sse,1488.73,974.37,0.5,5
57,is1,crps,801.67,507.47,0.5,5
58,is1,dss,727.47,472.52,0.5,5
59,is1,is1,5992.49,3813.54,0.5,5
60,sse,sse,1488.73,974.37,0.5,5
61,sse,crps,801.67,507.47,0.5,5
62,sse,dss,727.47,472.52,0.5,5
63,sse,is1,5992.49,3813.54,0.5,5
64,crps,sse,1488.73,974.37,0.8,5
65,crps,crps,801.67,507.47,0.8,5
66,crps,dss,727.47,472.52,0.8,5
67,crps,is1,5992.49,3813.54,0.8,5
68,dss,sse,1488.73,974.37,0.8,5
69,dss,crps,801.67,507.47,0.8,5
70,dss,dss,727.47,472.52,0.8,5
71,dss,is1,5992.49,3813.54,0.8,5
72,is1,sse,1488.73,974.37,0.8,5
73,is1,crps,801.67,507.47,0.8,5
74,is1,dss,727.47,472.52,0.8,5
75,is1,is1,5992.49,3813.54,0.8,5
76,sse,sse,1488.73,974.37,0.8,5
77,sse,crps,801.67,507.47,0.8,5
78,sse,dss,727.47,472.52,0.8,5
79,sse,is1,5992.49,3813.54,0.8,5
0,crps,sse,453.99,384.16,0.0,6
1,crps,crps,398.26,278.36,0.0,6
2,crps,dss,-1059.9,-267.32,0.0,6
3,crps,is1,5198.62,3330.24,0.0,6
4,dss,sse,470.31,344.47,0.0,6
5,dss,crps,403.24,268.43,0.0,6
6,dss,dss,-1203.1,-544.43,0.0,6
7,dss,is1,5143.34,3241.58,0.0,6
8,is1,sse,387.08,311.21,0.0,6
9,is1,crps,384.09,259.0,0.0,6
10,is1,dss,-1181.55,-529.72,0.0,6
11,is1,is1,5075.45,3223.12,0.0,6
12,sse,sse,453.92,384.26,0.0,6
13,sse,crps,398.16,278.68,0.0,6
14,sse,dss,-1060.65,-266.25,0.0,6
15,sse,is1,5198.14,3330.59,0.0,6
16,crps,sse,460.62,373.88,0.1,6
17,crps,crps,402.74,273.97,0.1,6
18,crps,dss,-1027.69,-381.23,0.1,6
19,crps,is1,5212.81,3307.76,0.1,6
20,dss,sse,472.1,344.74,0.1,6
21,dss,crps,406.03,267.96,0.1,6
22,dss,dss,-1178.49,-553.69,0.1,6
23,dss,is1,5150.47,3241.59,0.1,6
24,is1,sse,425.11,310.81,0.1,6
25,is1,crps,395.01,258.45,0.1,6
26,is1,dss,-575.97,-280.1,0.1,6
27,is1,is1,5089.62,3221.53,0.1,6
28,sse,sse,460.62,373.88,0.1,6
29,sse,crps,402.74,273.97,0.1,6
30,sse,dss,-1027.69,-381.23,0.1,6
31,sse,is1,5212.81,3307.76,0.1,6
32,crps,sse,1722.25,1131.52,0.3,6
33,crps,crps,851.92,544.77,0.3,6
34,crps,dss,904.98,621.49,0.3,6
35,crps,is1,6243.99,3927.75,0.3,6
36,dss,sse,1722.25,1131.52,0.3,6
37,dss,crps,851.92,544.77,0.3,6
38,dss,dss,904.98,621.49,0.3,6
39,dss,is1,6243.99,3927.75,0.3,6
40,is1,sse,1016.02,604.99,0.3,6
41,is1,crps,529.43,326.85,0.3,6
42,is1,dss,222.52,232.76,0.3,6
43,is1,is1,5234.23,3290.08,0.3,6
44,sse,sse,1722.25,1131.52,0.3,6
45,sse,crps,851.92,544.77,0.3,6
46,sse,dss,904.98,621.49,0.3,6
47,sse,is1,6243.99,3927.75,0.3,6
48,crps,sse,1722.25,1131.52,0.5,6
49,crps,crps,851.92,544.77,0.5,6
50,crps,dss,904.98,621.49,0.5,6
51,crps,is1,6243.99,3927.75,0.5,6
52,dss,sse,1722.25,1131.52,0.5,6
53,dss,crps,851.92,544.77,0.5,6
54,dss,dss,904.98,621.49,0.5,6
55,dss,is1,6243.99,3927.75,0.5,6
56,is1,sse,2105.62,1260.76,0.5,6
57,is1,crps,933.25,572.31,0.5,6
58,is1,dss,2028.72,1237.76,0.5,6
59,is1,is1,6144.42,3841.33,0.5,6
60,sse,sse,1722.25,1131.52,0.5,6
61,sse,crps,851.92,544.77,0.5,6
62,sse,dss,904.98,621.49,0.5,6
63,sse,is1,6243.99,3927.75,0.5,6
64,crps,sse,1722.25,1131.52,0.8,6
65,crps,crps,851.92,544.77,0.8,6
66,crps,dss,904.98,621.49,0.8,6
67,crps,is1,6243.99,3927.75,0.8,6
68,dss,sse,1722.25,1131.52,0.8,6
69,dss,crps,851.92,544.77,0.8,6
70,dss,dss,904.98,621.49,0.8,6
71,dss,is1,6243.99,3927.75,0.8,6
72,is1,sse,2105.62,1260.76,0.8,6
73,is1,crps,933.25,572.31,0.8,6
74,is1,dss,2028.72,1237.76,0.8,6
75,is1,is1,6144.42,3841.33,0.8,6
76,sse,sse,1722.25,1131.52,0.8,6
77,sse,crps,851.92,544.77,0.8,6
78,sse,dss,904.98,621.49,0.8,6
79,sse,is1,6243.99,3927.75,0.8,6
0,crps,sse,430.58,283.31,0.0,7
1,crps,crps,400.39,252.0,0.0,7
2,crps,dss,-1053.15,-652.92,0.0,7
3,crps,is1,5150.42,3232.09,0.0,7
4,dss,sse,438.95,291.71,0.0,7
5,dss,crps,403.51,255.32,0.0,7
6,dss,dss,-953.88,-594.54,0.0,7
7,dss,is1,5150.73,3224.59,0.0,7
8,is1,sse,448.25,306.54,0.0,7
9,is1,crps,401.41,257.46,0.0,7
10,is1,dss,-1134.39,-653.01,0.0,7
11,is1,is1,5186.31,3254.11,0.0,7
