,Method,Metric,Train,Test,Threshold,Rep
52,dss,sse,21496.37,20606.97,0.5,3
53,dss,crps,1547.52,1515.31,0.5,3
54,dss,dss,2020.2,1994.48,0.5,3
55,dss,is1,4770.77,5172.65,0.5,3
56,is1,sse,20861.77,19729.4,0.5,3
57,is1,crps,1548.72,1491.65,0.5,3
58,is1,dss,2159.73,2141.57,0.5,3
59,is1,is1,4756.96,5134.62,0.5,3
60,sse,sse,16993.51,18498.97,0.5,3
61,sse,crps,1471.14,1544.12,0.5,3
62,sse,dss,2264.56,2304.41,0.5,3
63,sse,is1,4952.19,5904.92,0.5,3
64,crps,sse,20861.77,19729.4,0.8,3
65,crps,crps,1548.72,1491.65,0.8,3
66,crps,dss,2159.73,2141.57,0.8,3
67,crps,is1,4756.96,5134.62,0.8,3
68,dss,sse,21496.37,20606.97,0.8,3
69,dss,crps,1547.52,1515.31,0.8,3
70,dss,dss,2020.2,1994.48,0.8,3
71,dss,is1,4770.77,5172.65,0.8,3
72,is1,sse,20861.77,19729.4,0.8,3
73,is1,crps,1548.72,1491.65,0.8,3
74,is1,dss,2159.73,2141.57,0.8,3
75,is1,is1,4756.96,5134.62,0.8,3
76,sse,sse,16993.51,18498.97,0.8,3
77,sse,crps,1471.14,1544.12,0.8,3
78,sse,dss,2264.56,2304.41,0.8,3
79,sse,is1,4952.19,5904.92,0.8,3
0,crps,sse,17265.76,16725.18,0.0,4
1,crps,crps,1384.88,1366.33,0.0,4
2,crps,dss,1947.83,1929.2,0.0,4
3,crps,is1,4704.32,5008.65,0.0,4
4,dss,sse,22006.03,20109.28,0.0,4
5,dss,crps,1568.73,1516.55,0.0,4
6,dss,dss,2030.25,2009.62,0.0,4
7,dss,is1,4924.93,5112.12,0.0,4
8,is1,sse,20950.39,19626.75,0.0,4
9,is1,crps,1524.42,1493.54,0.0,4
10,is1,dss,2101.85,2075.72,0.0,4
11,is1,is1,4736.42,5061.01,0.0,4
12,sse,sse,17201.0,16686.78,0.0,4
13,sse,crps,1462.33,1455.71,0.0,4
14,sse,dss,2181.85,2173.75,0.0,4
15,sse,is1,5183.0,5458.29,0.0,4
16,crps,sse,17265.76,16725.18,0.1,4
17,crps,crps,1384.88,1366.33,0.1,4
18,crps,dss,1947.83,1929.2,0.1,4
19,crps,is1,4704.32,5008.65,0.1,4
20,dss,sse,22006.03,20109.28,0.1,4
21,dss,crps,1568.73,1516.55,0.1,4
22,dss,dss,2030.25,2009.62,0.1,4
23,dss,is1,4924.93,5112.12,0.1,4
24,is1,sse,20950.39,19626.75,0.1,4
25,is1,crps,1524.42,1493.54,0.1,4
26,is1,dss,2101.85,2075.72,0.1,4
27,is1,is1,4736.42,5061.01,0.1,4
28,sse,sse,17221.96,16830.39,0.1,4
29,sse,crps,1478.31,1479.35,0.1,4
30,sse,dss,2270.29,2258.09,0.1,4
31,sse,is1,5205.34,5524.22,0.1,4
32,crps,sse,17265.76,16725.18,0.3,4
33,crps,crps,1384.88,1366.33,0.3,4
34,crps,dss,1947.83,1929.2,0.3,4
35,crps,is1,4704.32,5008.65,0.3,4
36,dss,sse,22006.03,20109.28,0.3,4
37,dss,crps,1568.73,1516.55,0.3,4
38,dss,dss,2030.25,2009.62,0.3,4
39,dss,is1,4924.93,5112.12,0.3,4
40,is1,sse,20950.39,19626.75,0.3,4
41,is1,crps,1524.42,1493.54,0.3,4
42,is1,dss,2101.85,2075.72,0.3,4
43,is1,is1,4736.42,5061.01,0.3,4
44,sse,sse,17221.96,16830.39,0.3,4
